match_id,player_id,kills,deaths,assists,cs_per_min,gold_per_min,vision_score,xp_per_min,rank
M00010,P2996,0,3,1,7.07,392,24,263,Gold
M00010,P8932,2,0,0,3.56,274,21,368,Silver
M00010,P5797,2,0,4,5.79,340,21,318,Diamond
M00011,P4268,0,0,0,9.91,302,24,317,Bronze
M00011,P6730,4,0,2,3.48,325,16,333,Bronze
M00011,P3802,2,3,1,3.46,439,32,288,Silver
M00011,P1577,2,1,1,4.82,341,29,340,Gold
M00011,P9191,2,2,2,5.83,345,30,310,Gold
M00011,P6413,1,1,1,3.18,256,19,336,Iron
M00011,P5826,0,0,6,4.2,343,21,290,Platinum
M00011,P9391,3,0,0,5.19,404,38,271,Gold
M00011,P1336,2,1,1,4.76,296,31,320,Platinum
M00011,P1794,3,0,2,8.66,356,24,275,Gold
M00012,P6774,0,0,1,6.52,395,21,292,Platinum
M00012,P3075,2,1,1,6.18,334,16,325,Diamond
M00012,P6703,2,1,3,5.91,482,33,313,Platinum
M00012,P1145,0,2,4,4.63,383,39,262,Gold
M00012,P1360,4,1,3,3.69,400,20,258,Platinum
M00012,P7923,2,1,3,6.88,327,6,257,Platinum
M00012,P7514,2,2,1,6.18,470,24,364,Platinum
M00012,P3737,1,1,1,7.99,279,4,331,Silver
M00012,P5640,2,2,1,5.31,276,16,370,Silver
M00012,P8823,0,1,2,0.08,355,38,328,Grandmaster
M00013,P6030,1,0,1,4.64,304,2,339,Gold
M00013,P7180,0,0,1,6.35,315,17,293,Gold
M00013,P4606,0,1,3,4.24,409,7,343,Platinum
M00013,P4182,1,1,2,5.2,355,11,291,Bronze
M00013,P9326,1,2,0,7.94,348,0,300,Silver
M00013,P1665,1,1,5,7.62,301,26,242,Diamond
M00013,P3466,0,0,1,9.24,408,17,359,Gold
M00013,P8331,0,0,0,7.14,390,13,321,Gold
M00013,P6784,1,1,2,4.71,396,4,239,Platinum
M00013,P6551,0,0,1,6.42,352,15,273,Gold
M00014,P8526,0,2,2,5.45,339,21,287,Gold
M00014,P7124,1,1,2,3.46,279,33,332,Platinum
M00014,P3803,0,3,1,5.24,370,15,380,Iron
M00014,P7383,0,1,2,9.55,368,31,246,Bronze
M00014,P9390,2,0,5,8.62,383,22,304,Platinum
M00014,P5839,2,0,2,7.48,354,21,304,Grandmaster
M00014,P6001,5,0,2,7.36,248,49,320,Diamond
M00014,P4560,2,0,1,5.88,289,26,261,Iron
M00014,P7061,2,4,3,6.3,336,16,304,Bronze
M00014,P1032,1,2,1,8.42,385,32,262,Gold
M00015,P1065,3,2,0,5.5,344,24,284,Gold
M00015,P6476,0,0,3,2.65,386,5,366,Silver
M00015,P7148,1,2,3,6.91,306,17,335,Master
M00015,P3647,2,0,3,1.46,337,28,260,Gold
M00015,P8830,0,1,4,4.04,382,13,265,Gold
M00015,P2992,1,0,3,6.24,309,32,309,Platinum
M00015,P4053,3,0,3,9.67,320,14,325,Gold
M00015,P5573,0,2,4,5.42,426,0,231,Gold
M00015,P7576,0,0,1,10.47,354,11,242,Gold
M00015,P5961,2,1,2,4.12,345,0,277,Platinum
M00016,P4018,1,0,3,6.81,277,24,309,Gold
M00016,P7552,1,0,4,4.31,365,13,308,Gold
M00016,P6225,3,1,1,5.45,422,11,349,Gold
M00016,P8453,0,1,1,7.92,350,24,277,Silver
M00016,P4202,0,1,2,3.4,330,29,224,Gold
M00016,P4617,0,0,1,4.98,371,13,297,Platinum
M00016,P2827,2,0,3,7.04,384,25,288,Silver
M00016,P3218,1,1,1,6.01,374,13,248,Gold
M00016,P7225,0,1,2,9.37,318,34,293,Gold
M00016,P5237,0,1,2,8.37,319,18,321,Diamond
M00017,P8270,2,3,5,3.98,333,2,342,Iron
M00017,P7242,3,3,0,3.99,346,20,311,Gold
M00017,P9814,0,0,1,4.86,336,0,288,Bronze
M00017,P1891,0,1,1,7.19,357,31,339,Diamond
M00017,P3138,0,0,2,5.5,339,18,351,Platinum
M00017,P2360,2,0,0,4.45,382,12,337,Gold
M00017,P8346,1,0,3,6.24,338,11,353,Silver
M00017,P7725,2,0,1,5.8,290,27,328,Platinum
M00017,P7926,0,2,2,5.8,344,35,335,Bronze
M00017,P9269,0,1,3,5.16,327,18,352,Silver
M00018,P6562,0,0,3,7.99,284,11,289,Platinum
M00018,P1343,1,0,3,7.05,287,6,323,Gold
M00018,P5125,2,1,1,7.16,416,22,274,Gold
M00018,P7259,3,1,4,7.05,412,20,269,Gold
M00018,P5119,0,2,0,5.08,407,9,254,Master
M00018,P8580,1,0,1,4.07,311,26,252,Silver
M00018,P3646,2,0,3,8.46,367,18,317,Iron
M00018,P1799,0,1,0,2.82,303,30,294,Gold
M00018,P8027,1,0,1,5.6,300,18,324,Silver
M00018,P8586,0,1,2,7.85,373,30,282,Platinum
M00019,P8161,4,1,0,7.71,407,34,342,Gold
M00019,P8291,0,0,0,3.57,337,18,254,Silver
M00019,P1316,0,1,1,4.85,329,25,262,Gold
M00019,P4118,1,0,2,6.75,342,24,329,Silver
M00019,P9657,2,3,2,4.35,394,41,293,Bronze
M00019,P3701,1,0,2,8.51,432,20,287,Silver
M00019,P7436,1,1,2,4.58,330,13,330,Diamond
M00019,P2883,2,1,2,9.93,392,20,289,Gold
M00019,P5403,0,1,3,5.58,330,4,302,Gold
M00019,P6759,2,2,3,4.86,360,25,250,Bronze
M00020,P7291,1,2,1,3.25,402,0,286,Gold
M00020,P7448,2,0,3,6.63,399,17,345,Diamond
M00020,P3455,1,1,2,7.6,340,21,296,Gold
M00020,P4620,0,3,2,6.81,390,27,261,Iron
M00020,P5516,5,0,0,8.17,352,28,341,Platinum
M00020,P6494,2,2,2,3.39,349,14,347,Iron
M00020,P5204,1,0,2,3.42,340,0,334,Platinum
M00020,P2563,1,2,1,6.77,416,22,318,Gold
M00020,P6363,3,0,2,4.85,322,30,346,Platinum
M00020,P9133,1,0,1,4.53,380,11,365,Master
M00021,P9192,0,2,1,8.42,322,20,276,Silver
M00021,P5146,1,0,2,4.88,383,6,331,Silver
M00021,P1493,1,1,3,8.95,339,13,297,Gold
M00021,P3620,0,1,3,7.06,377,18,278,Gold
M00021,P4075,1,1,5,6.83,321,6,310,Platinum
M00021,P5021,1,0,2,4.68,282,40,318,Master
M00021,P6607,0,1,1,6.49,388,5,260,Silver
M00021,P5264,2,0,1,7.45,348,17,306,Gold
M00021,P6078,1,2,4,7.92,437,13,287,Platinum
M00021,P5333,2,1,0,8.36,400,30,301,Platinum
M00022,P8230,1,1,0,1.78,412,0,349,Master
M00022,P3575,5,2,0,8.38,326,38,324,Silver
M00022,P5207,1,0,2,5.84,471,29,342,Gold
M00022,P9849,2,0,3,7.29,275,18,336,Platinum
M00022,P2561,0,0,0,4.22,373,15,351,Gold
M00022,P7704,1,1,0,5.39,347,11,308,Silver
M00022,P5933,0,3,0,3.31,376,26,293,Gold
M00022,P5941,0,3,3,4.41,400,15,346,Gold
M00022,P6381,0,1,1,6.92,418,38,312,Gold
M00022,P3164,1,1,1,6.48,280,14,325,Gold
M00023,P5351,2,1,0,5.79,379,11,290,Platinum
M00023,P5063,0,2,1,7.31,339,15,271,Gold
M00023,P8477,0,1,0,10.75,388,28,307,Platinum
M00023,P8343,4,1,1,8.02,336,37,310,Gold
M00023,P6798,2,0,2,7.02,352,6,252,Bronze
M00023,P1893,1,1,4,2.77,392,23,200,Grandmaster
M00023,P7770,2,1,1,9.23,350,12,267,Gold
M00023,P2324,1,1,0,7.67,377,0,263,Gold
M00023,P6894,1,1,4,6.85,405,25,307,Silver
M00023,P1920,2,1,2,4.83,346,38,218,Gold
M00024,P7791,2,2,2,1.59,342,29,346,Silver
M00024,P3664,1,0,4,4.56,390,23,367,Master
M00024,P3500,0,1,0,4.14,345,17,290,Platinum
M00024,P5830,1,1,1,5.64,328,16,294,Platinum
M00024,P5565,0,0,1,5.42,245,16,275,Bronze
M00024,P3964,0,1,4,9.07,292,4,287,Bronze
M00024,P5370,1,0,2,6.06,346,28,334,Diamond
M00024,P7892,1,1,1,7.46,416,14,371,Master
M00024,P6471,1,3,2,4.98,413,9,244,Iron
M00024,P9741,1,1,1,3.96,341,25,361,Gold
M00025,P4712,2,0,3,4.02,332,21,322,Silver
M00025,P4671,0,2,0,9.37,307,22,278,Challenger
M00025,P7727,1,1,1,5.63,330,10,298,Silver
M00025,P1281,0,2,4,9.2,315,24,267,Platinum
M00025,P4880,2,0,3,4.28,344,19,340,Gold
M00025,P5849,0,0,0,9.49,321,26,314,Silver
M00025,P8976,1,3,2,10.58,369,28,294,Platinum
M00025,P7469,0,2,0,5.86,348,40,261,Gold
M00025,P5938,2,0,2,4.65,340,20,263,Diamond
M00025,P1987,2,1,3,5.2,312,21,312,Bronze
M00026,P1471,2,5,2,3.32,362,16,313,Silver
M00026,P3881,0,0,2,3.08,361,20,380,Gold
M00026,P1069,0,0,2,4.62,368,0,284,Platinum
M00026,P5566,1,1,2,5.89,333,19,293,Platinum
M00026,P8978,5,0,1,6.71,338,23,275,Silver
M00026,P8647,1,3,1,3.28,416,17,342,Bronze
M00026,P5360,3,2,4,6.23,355,6,249,Bronze
M00026,P4874,2,1,0,1.71,417,5,278,Platinum
M00026,P7268,3,2,2,7.41,353,43,326,Platinum
M00026,P3784,2,2,1,7.41,316,12,389,Silver
M00027,P1371,2,1,2,4.73,342,22,222,Diamond
M00027,P7720,2,2,0,5.29,341,14,235,Platinum
M00027,P4818,2,0,1,2.55,322,8,263,Bronze
M00027,P1416,2,1,3,9.67,425,14,337,Bronze
M00027,P3469,1,0,0,8.24,352,37,281,Silver
M00027,P4188,2,1,3,5.67,374,21,244,Iron
M00027,P2591,1,0,2,8.05,280,8,347,Diamond
M00027,P7425,1,1,2,5.99,411,10,297,Gold
M00027,P8168,1,0,0,7.98,346,23,341,Bronze
M00027,P9671,1,0,3,7.33,304,28,330,Platinum
M00028,P4732,2,0,4,5.43,398,8,330,Gold
M00028,P2588,0,0,1,7.31,332,31,326,Gold
M00028,P6183,1,2,3,6.22,334,24,297,Silver
M00028,P6865,0,0,1,4.72,442,21,312,Gold
M00028,P3246,6,1,3,6.04,396,24,261,Master
M00028,P6023,0,2,5,11.45,454,31,340,Grandmaster
M00028,P9808,1,0,2,6.16,393,10,304,Silver
M00028,P2529,1,0,3,3.39,453,16,319,Diamond
M00028,P6842,2,0,2,7.27,367,25,267,Gold
M00028,P1926,2,1,4,1.19,428,21,278,Gold
M00029,P5043,0,1,1,7.05,397,1,291,Diamond
M00029,P4117,5,2,1,5.88,331,22,297,Platinum
M00029,P1660,1,0,4,8.27,267,32,285,Gold
M00029,P7846,2,2,2,6.13,339,27,230,Platinum
M00029,P2381,1,0,0,3.4,359,28,312,Silver
M00029,P3094,1,0,1,6.05,388,1,359,Gold
M00029,P3596,0,1,2,6.5,376,26,311,Diamond
M00029,P6491,2,0,1,4.77,357,9,316,Gold
M00029,P7904,2,0,3,4.63,304,13,292,Master
M00029,P7892,0,0,4,3.75,370,33,343,Bronze
M00030,P7815,1,0,0,6.21,318,33,341,Bronze
M00030,P3232,1,0,0,4.88,289,21,341,Diamond
M00030,P1858,3,1,3,2.6,380,15,302,Silver
M00030,P8590,3,3,4,6.48,397,25,376,Gold
M00030,P4257,1,0,4,2.86,357,12,343,Diamond
M00030,P8030,1,0,2,9.22,283,18,266,Bronze
M00030,P2059,1,0,3,6.19,301,33,354,Platinum
M00030,P6341,5,2,0,9.34,354,21,307,Bronze
M00030,P2993,1,0,2,8.88,301,3,275,Gold
M00030,P4535,0,0,1,10.0,345,22,308,Silver
M00031,P5239,0,1,1,2.44,335,16,365,Iron
M00031,P9619,1,2,2,4.38,248,31,307,Diamond
M00031,P6613,2,0,0,6.11,343,27,252,Master
M00031,P6543,2,2,2,3.57,367,13,329,Bronze
M00031,P5423,0,1,2,5.85,305,23,364,Gold
M00031,P8679,1,2,2,7.51,283,8,317,Platinum
M00031,P4220,2,0,2,6.09,369,31,311,Platinum
M00031,P9083,1,1,4,4.14,357,23,284,Gold
M00031,P9910,0,1,3,5.61,372,32,286,Master
M00031,P9870,1,1,2,5.82,340,3,279,Platinum
M00032,P8218,0,0,2,7.23,333,26,318,Platinum
M00032,P8021,2,0,1,6.32,349,17,309,Silver
M00032,P1903,0,1,1,4.56,364,19,371,Bronze
M00032,P7385,2,1,3,6.44,380,24,278,Gold
M00032,P2947,5,1,1,7.34,314,24,324,Gold
M00032,P3543,5,0,3,5.32,305,30,269,Gold
M00032,P3815,0,0,2,3.41,326,26,344,Platinum
M00032,P4961,1,1,2,11.85,311,11,345,Bronze
M00032,P2550,1,1,3,6.3,328,1,354,Platinum
M00032,P5084,0,2,1,6.12,344,18,308,Silver
M00033,P7619,0,0,2,4.28,299,18,329,Gold
M00033,P8944,2,2,1,6.13,305,4,338,Bronze
M00033,P3492,0,0,1,6.01,302,27,313,Gold
M00033,P1786,1,4,2,6.67,355,42,234,Platinum
M00033,P5062,1,0,0,5.67,324,23,343,Gold
M00033,P3505,2,1,3,5.73,375,7,351,Platinum
M00033,P7225,1,0,3,8.39,310,19,282,Platinum
M00033,P8715,0,1,0,6.37,344,32,340,Platinum
M00033,P9177,0,0,0,8.15,384,37,301,Platinum
M00033,P9162,3,1,2,3.56,372,2,273,Diamond
M00034,P5271,2,0,1,6.59,337,30,269,Silver
M00034,P4912,1,3,3,8.62,374,21,200,Gold
M00034,P3614,2,2,0,6.36,362,20,306,Gold
M00034,P6384,4,0,2,8.59,368,20,278,Platinum
M00034,P8280,2,1,2,7.91,437,23,316,Diamond
M00034,P8893,1,1,3,8.72,410,34,282,Gold
M00034,P4266,2,0,1,8.69,346,31,299,Platinum
M00034,P9448,3,1,0,3.3,353,20,312,Gold
M00034,P1031,2,0,4,8.63,314,28,265,Gold
M00034,P5121,1,1,0,6.25,476,16,338,Diamond
M00035,P1649,2,0,1,6.24,323,20,283,Iron
M00035,P7014,1,1,2,8.69,323,27,303,Gold
M00035,P7965,1,1,1,6.78,362,37,373,Iron
M00035,P2924,1,0,1,5.76,369,18,310,Silver
M00035,P5876,2,0,3,3.79,346,9,270,Gold
M00035,P9984,1,2,2,9.9,307,8,309,Silver
M00035,P8152,0,6,4,6.03,348,31,291,Bronze
M00035,P1305,1,4,2,5.95,340,25,316,Silver
M00035,P5664,1,0,3,9.89,324,9,304,Platinum
M00035,P5702,1,3,3,4.06,378,0,255,Silver
M00036,P6334,0,2,1,7.43,309,5,362,Gold
M00036,P6201,0,1,0,3.51,330,27,361,Silver
M00036,P9178,1,0,0,5.68,364,2,309,Diamond
M00036,P6510,1,1,2,5.4,355,20,367,Master
M00036,P5417,0,1,1,4.4,326,10,309,Bronze
M00036,P9471,0,0,2,8.13,481,37,252,Platinum
M00036,P2108,1,0,3,7.41,263,27,286,Diamond
M00036,P3769,3,1,1,5.05,366,31,309,Platinum
M00036,P3715,3,0,1,3.21,338,30,277,Diamond
M00036,P9009,1,0,3,6.81,237,3,295,Gold
M00037,P4847,0,1,4,7.07,371,34,357,Bronze
M00037,P6624,1,3,4,0.14,310,20,315,Gold
M00037,P8895,1,0,4,4.55,339,25,331,Platinum
M00037,P1784,1,2,1,6.31,387,31,284,Silver
M00037,P8888,2,1,1,5.18,335,21,310,Platinum
M00037,P1749,3,1,2,6.65,338,8,297,Platinum
M00037,P8587,0,0,1,4.48,515,3,259,Master
M00037,P1658,3,3,3,7.84,341,10,304,Gold
M00037,P3788,0,1,1,3.68,377,8,258,Iron
M00037,P7442,2,3,2,4.26,382,19,325,Gold
M00038,P3951,1,2,1,1.03,428,10,283,Diamond
M00038,P7262,0,1,2,9.27,355,23,353,Gold
M00038,P6650,2,0,0,2.92,331,20,321,Platinum
M00038,P3400,1,0,2,4.44,314,28,287,Silver
M00038,P4696,0,0,1,3.37,315,30,309,Diamond
M00038,P6121,1,0,0,7.3,287,13,313,Gold
M00038,P1644,0,1,3,7.66,354,21,378,Platinum
M00038,P5335,1,3,3,8.53,377,22,263,Diamond
M00038,P9395,3,0,1,0.28,315,20,305,Gold
M00038,P7331,0,1,3,5.31,388,7,360,Platinum
M00039,P8121,0,1,3,5.78,329,11,241,Diamond
M00039,P8640,3,3,2,9.4,309,10,301,Diamond
M00039,P1888,2,1,1,6.98,357,14,318,Silver
M00039,P5472,1,1,0,7.19,410,5,303,Platinum
M00039,P3651,2,0,3,3.6,241,10,308,Gold
M00039,P3651,0,2,1,4.6,429,26,321,Platinum
M00039,P5806,1,1,1,5.29,425,21,287,Platinum
M00039,P1380,2,0,2,9.65,318,8,257,Gold
M00039,P5832,0,0,3,5.56,328,39,331,Diamond
M00039,P2313,0,0,4,7.57,444,12,333,Gold
M00040,P2836,2,0,1,7.76,318,18,264,Platinum
M00040,P4223,2,0,2,4.62,392,15,259,Gold
M00040,P1292,0,1,2,6.83,305,27,291,Gold
M00040,P2180,0,1,1,8.25,413,13,244,Diamond
M00040,P3318,0,0,0,7.4,340,15,300,Silver
M00040,P3278,2,3,2,3.25,433,35,284,Gold
M00040,P2397,0,0,1,7.8,301,39,282,Gold
M00040,P4713,2,1,2,3.03,335,33,336,Gold
M00040,P3635,1,0,2,6.28,401,7,291,Gold
M00040,P6184,0,0,1,7.86,387,18,234,Platinum
M00041,P2069,2,2,3,2.43,342,24,267,Bronze
M00041,P9134,4,1,5,7.17,360,16,265,Diamond
M00041,P2357,1,2,1,7.35,387,18,254,Gold
M00041,P7621,2,3,1,7.48,391,14,310,Silver
M00041,P2582,2,0,3,4.17,322,34,290,Platinum
M00041,P4903,3,3,1,4.58,370,38,307,Gold
M00041,P9287,1,0,4,4.91,336,27,344,Master
M00041,P2909,2,0,5,5.39,309,0,311,Silver
M00041,P1058,0,0,3,5.04,335,47,347,Gold
M00041,P1733,0,1,1,7.39,274,13,327,Silver
M00042,P7745,3,0,2,4.07,354,21,320,Gold
M00042,P6195,1,1,4,7.29,365,0,314,Silver
M00042,P7727,0,0,2,7.04,341,12,316,Gold
M00042,P5683,1,0,2,5.59,311,28,246,Bronze
M00042,P1335,0,1,1,5.79,398,26,228,Platinum
M00042,P2124,1,0,0,7.9,296,16,258,Gold
M00042,P1173,0,1,3,6.82,356,21,265,Diamond
M00042,P6396,2,0,1,8.19,359,31,283,Platinum
M00042,P3025,0,0,3,8.03,322,40,307,Master
M00042,P7801,1,0,5,4.84,312,30,308,Silver
M00043,P1869,0,3,2,7.68,272,23,298,Diamond
M00043,P7843,1,0,2,7.25,265,14,380,Platinum
M00043,P1174,3,2,2,4.87,348,22,298,Gold
M00043,P8818,0,1,2,5.21,322,8,336,Gold
M00043,P5177,1,1,1,6.56,315,21,299,Silver
M00043,P4342,3,1,1,4.45,366,12,369,Bronze
M00043,P1791,1,1,4,7.31,403,27,315,Gold
M00043,P1086,0,0,0,3.76,296,38,299,Platinum
M00043,P3977,0,0,0,6.53,347,6,246,Diamond
M00043,P1424,2,0,3,3.06,353,19,303,Platinum
M00044,P8475,3,0,2,7.19,362,18,342,Diamond
M00044,P8193,2,1,6,4.71,372,29,290,Gold
M00044,P7592,1,1,3,4.94,364,29,249,Silver
M00044,P5017,2,1,2,9.92,224,10,264,Gold
M00044,P6326,0,1,3,7.04,350,21,344,Bronze
M00044,P3052,3,1,0,4.4,326,14,275,Gold
M00044,P3072,1,1,5,4.52,228,21,245,Gold
M00044,P4766,0,0,3,4.6,383,18,260,Diamond
M00044,P8313,1,0,1,5.38,320,27,294,Platinum
M00044,P5037,2,0,0,8.73,383,34,274,Silver
M00045,P8840,1,0,2,5.99,341,14,288,Platinum
M00045,P5417,0,1,1,8.25,360,8,340,Diamond
M00045,P2925,1,1,2,6.34,288,2,342,Silver
M00045,P4549,1,1,0,5.15,329,27,347,Bronze
M00045,P7951,3,2,1,7.33,417,25,315,Platinum
M00045,P8202,0,0,0,11.31,394,10,304,Bronze
M00045,P4779,2,1,0,10.77,336,16,279,Silver
M00045,P4306,1,1,5,8.15,330,21,269,Platinum
M00045,P1532,0,0,2,4.41,341,23,310,Silver
M00045,P6357,0,1,3,7.22,358,10,288,Gold
M00046,P1140,0,1,4,9.0,367,22,319,Diamond
M00046,P1683,1,0,6,4.26,364,23,340,Platinum
M00046,P2416,2,2,3,8.64,374,6,297,Platinum
M00046,P7154,1,0,2,3.72,322,20,257,Silver
M00046,P6352,1,0,3,7.69,326,29,322,Master
M00046,P4305,0,1,1,7.69,405,19,358,Gold
M00046,P8662,1,0,1,8.44,315,21,289,Silver
M00046,P4610,0,1,3,6.33,375,26,234,Gold
M00046,P5464,2,0,1,4.71,395,39,356,Platinum
M00046,P9016,0,1,3,6.25,296,16,342,Grandmaster
M00047,P6072,1,2,0,7.83,308,28,334,Silver
M00047,P4284,0,2,3,5.47,328,14,414,Silver
M00047,P8324,0,0,5,6.59,369,0,403,Gold
M00047,P2112,1,0,1,6.16,407,7,273,Gold
M00047,P5288,0,1,3,2.54,287,31,321,Gold
M00047,P8169,3,0,4,6.7,407,8,295,Silver
M00047,P4405,0,1,2,3.55,422,16,262,Gold
M00047,P7648,2,3,1,3.95,218,10,260,Platinum
M00047,P4707,2,2,2,2.27,334,34,290,Bronze
M00047,P4921,1,0,1,3.8,352,17,313,Diamond
M00048,P2791,2,1,0,6.16,413,35,300,Platinum
M00048,P7335,0,0,0,6.0,379,22,315,Iron
M00048,P1824,1,3,1,4.39,343,20,251,Grandmaster
M00048,P3549,4,3,0,6.47,368,21,310,Platinum
M00048,P8533,0,0,1,2.39,369,0,303,Platinum
M00048,P5213,3,0,1,6.84,292,21,266,Diamond
M00048,P4019,0,1,2,6.12,380,18,250,Gold
M00048,P9397,4,1,4,7.69,431,30,312,Platinum
M00048,P2616,1,1,4,6.43,401,28,357,Gold
